ALUMNO,APELLIDOS,NOMBRE,MATRICULA,ETAPA,ANNO,TIPO,ESTUDIOS,GRUPO,REPETIDOR,FECHAMATRICULA,CENTRO,PROCEDENCIA,ESTADOMATRICULA,FECHARESMATRICULA,NUM_EXP_CENTRO
334093,Arenas González,Carla,334093,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
177899,Ulpiánez Zapatero,Sacramento,177899,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
315284,Robles Zapatero,Antonio,315284,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
982259,Atance Margall,Óscar,982259,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
116855,Ramos Ulpiánez,Salvador,116855,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
650484,Nogueras Rodríguez,Sonia,650484,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
580156,López López,Luisa,580156,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
675795,García Zapatero,Antonio,675795,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
588181,Olmos Olmos,Montserrat,588181,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
194854,Robles Olmedo,Sonia,194854,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
828804,Zapatero Nogueras,Mercedes,828804,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
941789,Atance Olmos,Salvador,941789,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
104499,Robles Céspedes,Salvador,104499,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
511647,Olmos Margall,Santiago,511647,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
134518,Zapatero Ramos,Dolores,134518,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
185248,Atance Céspedes,Montserrat,185248,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
729275,Nogueras Ulpiánez,Enrique,729275,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
118039,Rodríguez Olmos,Montserrat,118039,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
368405,Céspedes Robles,Sacramento,368405,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
221772,Zapatero López,Dolores,221772,667,2016,o,1º de ESO,1º A,N,08/07/2016,98273455,83123454,,,271
324482,Fernández Margall,Carlos,324482,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
235043,Robles González,Mercedes,235043,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
120972,García Zapatero,Jacobo,120972,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
106240,Gómez Rodríguez,Dolores,106240,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
195820,Atance Céspedes,Montserrat,195820,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
797561,Lopetegui González,Montserrat,797561,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
856938,Lopetegui Lopetegui,Francisco,856938,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
224433,Ulpiánez Pi,Salvador,224433,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
494054,López Robles,Sonia,494054,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
933462,Fernández Zapatero,Manuel,933462,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
809259,Gómez Gómez,Óscar,809259,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
600678,Arenas Nogueras,Antonio,600678,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
351023,Ulpiánez Lopetegui,Sacramento,351023,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
919011,Gómez Zapatero,Sacramento,919011,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
592829,Ulpiánez García,Carlos,592829,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
550096,Pi Olmedo,Óscar,550096,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
632389,Ulpiánez Olmos,Carla,632389,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
803214,Robles Rodríguez,Jacobo,803214,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
828373,Gómez Olmos,Pedro,828373,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
642959,Rodríguez Gómez,Sonia,642959,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
478834,Olmos Ramos,Sonia,478834,667,2016,o,1º de ESO,1º B,N,08/07/2016,98273455,83123454,,,271
210472,Zapatero Gómez,Mercedes,210472,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
656827,Rodríguez Ulpiánez,Montserrat,656827,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
277044,Fernández Brey,Francisco,277044,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
297823,García Robles,Salvador,297823,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
970911,Ramos Pi,Francisco,970911,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
869176,Zapatero Robles,Carla,869176,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
947340,Lopetegui Atance,Encarnación,947340,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
608881,Margall López,Sonia,608881,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
375267,García Gómez,Luisa,375267,667,2016,o,1º de ESO,2º A,N,08/07/2016,98273455,83123454,,,271
